"ASV_id","warmed_bacteria_gradient","warmed_bacteria","cooled_bacteria_gradient","cooled_bacteria","High Control","Low Control","Mid Control","Genus","Family","Phylum","Class","Order"
"1345",-0.07,0.18,0.33,-0.25,2.86,3.18,3.3,NA,NA,"Actinobacteria","Thermoleophilia","Gaiellales"
"749",-0.3,-0.21,0.33,NA,3.09,NA,3.43,"Nordella","Rhizobiales Incertae Sedis","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"461",-0.34,-0.26,0.33,0.09,3.35,NA,3.43,NA,"Verrucomicrobiaceae","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales"
"1549",-0.24,-0.14,0.33,-0.06,3.71,3.33,3.43,NA,"A21b","Proteobacteria","Gammaproteobacteria","Burkholderiales"
"1258",-0.21,-0.11,0.33,NA,3.68,NA,4.38,"Conexibacter","Solirubrobacteraceae","Actinobacteria","Thermoleophilia","Solirubrobacterales"
"1163",-0.3,-0.17,0.33,-0.35,3.97,3.94,3.63,"Candidatus Solibacter","Solibacteraceae","Acidobacteria","Acidobacteriae","Solibacterales"
"413",-0.34,-0.24,0.33,-0.2,3.79,NA,3.33,NA,"Pedosphaeraceae","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales"
"1119",-0.47,-0.4,0.33,-0.32,3.98,3.74,3.86,NA,NA,"Acidobacteria","Vicinamibacteria","Vicinamibacterales"
"1641",-0.19,-0.07,0.33,NA,3.35,NA,4.14,NA,NA,"Chloroflexi","Dehalococcoidia","S085"
"79",-0.3,-0.15,0.33,-0.01,3.66,3.13,3.96,NA,"BIrii41","Myxococcota","Polyangia","Polyangiales"
"584",-0.35,-0.2,0.33,-0.24,4.32,NA,4.3,NA,NA,"Planctomycetota","Planctomycetes","Planctomycetales"
"487",-0.15,-0.05,0.32,NA,3.37,NA,4.47,"Candidatus Udaeobacter","Chthoniobacteraceae","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales"
