"species","warmed_bacteria_gradient","warmed_bacteria","cooled_bacteria_gradient","cooled_bacteria"
"1127",-0.194848535113303,0.0610266047539081,0.282002656647594,-0.263270159810147
"72",-0.383433145753675,-0.34807583505548,0.281263174282129,-0.230676052968048
"398",0.00421088968570217,0.18467833616718,0.280683775759861,-0.0297365074436449
"9",-0.464453812556894,-0.473352980619172,0.28053760826154,-0.173902993533106
"1301",-0.328983804645128,-0.336301320759658,0.280206413076053,-0.168526862917588
"191",-0.356153002991893,-0.293226447069096,0.279829450370001,-0.2538479370717
"1653",-0.349041643034902,-0.209159113565844,0.279436229803297,-0.43491852650255
"122",-0.134268318148551,-0.0932247427636566,0.279302506633436,-0.14623308366475
"704",-0.338759037617198,-0.242195399992317,0.279221494465339,-0.20145318080049
"1188",-0.181226280328026,-0.0161503139221548,0.278618576844335,-0.195649562485651
"1371",-0.341483031607068,-0.225687762770069,0.278034066314711,-0.146360280298324
"1167",-0.506984813658582,-0.511534398199506,0.276696308358085,-0.204271432292325
"797",-0.108443175187807,-0.121638480260395,0.276617398963392,NA
"1107",-0.203366035089535,-0.167182850464173,0.276166357030501,-0.27479389075568
"447",-0.298952363759461,-0.190599693419294,0.274290708950955,-0.226205484650703
"406",-0.103037823050867,0.0357836306475406,0.274005190933671,-0.148439410281268
"77",-0.15833884717894,-0.188546130818632,0.273902959834494,NA
"1086",-0.119098235369609,-0.0201731167209592,0.272809968992593,NA
"604",-0.0240054608768801,0.19362722907452,0.272758666953524,-0.194432268474268
"119",-0.0501541857615932,0.0854298507038572,0.272599602188094,-0.0757797182283109
"622",-0.308909709320597,-0.324162069431794,0.271647822526853,-0.267411691200032
"1416",-0.386257439096007,-0.314305018028057,0.271416824400644,0.0225888353539725
"1067",-0.0773598754483051,0.0574572187399557,0.270605323566405,-0.0138398364825596
"333",-0.262894431721844,-0.181351401688389,0.270413262303877,-0.243020294493735
"307",-0.40244277897346,-0.273820763758012,0.270379361804833,-0.299305212275663
"24",-0.206683086118871,-0.127068087176581,0.270025332569254,-0.190025553626462
"1450",-0.139256094611926,0.00398825905066768,0.269081963691804,-0.0604131493392972
"1535",-0.347070520473228,-0.237407924915196,0.26823548574814,-0.201781752741428
"628",-0.190357372759764,-0.129623572372372,0.268123883265025,-0.196191280502518
"43",-0.288313033566819,-0.235192638189608,0.267718965337137,0.0904116563443101
"1017",-0.18555547800608,-0.0894028574137329,0.267607637931006,-0.156122591378828
"999",-0.101263624881856,0.0161121399568592,0.266339587193634,-0.248895918264889
"730",-0.0652734843960631,0.0417056181528495,0.265264980180432,-0.155272407500073
"1425",-0.144270187895602,0.0178175436831346,0.264941534984631,-0.24409959559715
"1465",-0.453161964181957,-0.408499404744895,0.264599552255023,-0.0938474020078467
"981",-0.231451797712825,0.0273287831300735,0.264119429906898,-0.433938871589932
"1043",-0.211092457986959,-0.190661057760556,0.263391438272556,0.0579738842910684
"567",-0.0787094813815784,0.122858601970252,0.263279018088122,-0.277908659337697
"1505",-0.0276958461230558,0.063089258729401,0.262486773481322,-0.0909822479823327
"1554",-0.391675398106771,-0.227747088996165,0.262236973804322,-0.252729002902588
"1550",0.00427323302812791,0.161462655171086,0.261182487653616,-0.167198266374882
"416",-0.394762417562977,-0.472221317628595,0.261013247894966,-0.17553063723784
"518",-0.0433206875456154,0.115668075542686,0.260781567489458,NA
"193",-0.411771544096717,-0.332172476156042,0.259283200334456,-0.351764126616424
"539",-0.100123976755581,-0.0118576698143902,0.259108384950152,-0.20513895005744
"1036",-0.310645784612529,-0.212446563190901,0.258121390939767,-0.295840963382326
"675",-0.0631800918760349,0.11975225166821,0.257699524034741,-0.276942478643705
"270",-0.208571307422236,-0.166268486099208,0.256847485377408,NA
"1647",-0.479652772828227,-0.405664803592015,0.254838072982841,-0.3556038116587
"1108",-0.19679694065173,-0.148048678628572,0.254517758587789,-0.10492805953206
"726",-0.284052148554604,-0.150232209987956,0.254365390200824,-0.312339066785282
"375",-0.184121982358339,-0.0231156336777867,0.252681711318249,-0.18353537736931
"1614",-0.116773629260503,-0.00399887331228408,0.252414562567418,0.140493795579253
"525",-0.172265675659198,-0.124694909770885,0.252341744579028,-0.299839921196412
