"ASV_id","High Control","Low Control","Mid Control"
"577",2.86,3.75,3.69
"578",NA,3.2,NA
"579",3.97,3.4,4.45
"580",NA,2.92,3.3
"581",4.74,NA,2.77
"582",NA,4.12,3.5
"583",3.6,2.83,3.83
"584",4.32,NA,4.3
"585",NA,4.23,4.66
"586",3.07,3.06,3.27
"587",NA,2.18,2.8
"588",4.82,3.88,3.9
"589",3.87,3.26,3.76
"590",4.09,2.56,NA
"591",3.44,2.77,3.09
"592",3.37,3.14,3.44
"593",4.4,3.76,4.13
"594",3.56,3.47,2.86
"595",3.73,3.14,3.89
"596",NA,2.77,NA
"597",4.82,3.56,3.84
"598",3.47,NA,4.01
"599",3.53,4.06,4.25
"600",3.73,3.64,3.59
"601",3.38,3.56,3.32
"602",3.75,3.51,3.83
"603",3.63,3.64,3.68
"604",3.65,2.97,3.72
"605",3.64,4.26,3.47
"606",3.92,3.7,3.81
"607",3.55,3.47,3.33
"608",3.32,2.94,3.45
"609",4.01,4.21,4.33
"610",3.61,2.89,3.42
"611",3.85,3.75,4.15
"612",5.26,4.6,5.14
"613",4.67,4.6,4.65
"614",3.93,3.34,3.77
"615",4.07,4.21,4.26
"616",5.45,5.51,5.47
"617",3.57,3.94,3.86
"618",NA,4.63,4.14
"619",4.5,4.68,4.62
"620",4.02,3.81,3.95
"621",4.47,4.2,4.29
"622",3.72,2.89,3.35
"623",4.56,4.03,3.99
"624",3.85,NA,NA
"625",NA,4,NA
"626",3.92,2.96,4.03
"627",4.39,4.09,4.55
"628",4.15,3.96,4.45
"629",3.78,3.58,NA
"630",NA,3.99,4.27
"631",4.19,NA,4.7
"632",3.72,4.61,3.98
"633",NA,NA,4.78
"634",3.66,3.59,3.69
"635",3,3.31,2.69
"636",4.03,3.32,3.56
"637",4.15,2.94,4.45
"638",4.04,3.93,4.06
"639",2.77,3.17,3.04
"640",4.14,NA,NA
"641",4.05,NA,3.72
"642",3.96,3.52,4.16
"643",4.09,3.79,4.5
"644",2.66,2.29,2.76
"645",4.11,3.58,4.19
"646",2.19,3.15,2.74
"647",4.22,4.12,4.46
"648",3.09,NA,NA
"649",NA,4.36,NA
"650",4.74,NA,4.79
"651",4.66,5.28,4.72
"652",4.75,NA,3.64
"653",6.19,6.1,5.94
"654",4.05,3.75,4.23
"655",NA,4.24,4.75
"656",7.06,6.96,6.94
"657",NA,3.07,3.5
"658",4.75,4.15,4.85
"659",4.14,3.84,NA
"660",3.58,3.55,4.22
"661",3.37,3.22,3.13
"662",NA,NA,3.02
"663",4.25,3.53,3.64
"664",NA,3.75,NA
"666",2.71,NA,3.26
"667",4.01,3.9,4.11
"668",NA,4.33,4.25
"669",2.98,NA,3.42
"670",3.22,NA,NA
"671",3.45,3.22,3.28
"672",3.1,3.42,3.12
"673",3.47,2.48,3.43
"674",3.48,3.21,3.93
"675",3.62,3.26,3.72
"676",NA,3.22,2.08
"677",3.47,3.93,4.08
"678",3.99,3.88,3.85
"679",4.86,4.51,4.39
"680",3.25,2.77,3.73
"681",4.01,3.25,4.13
"683",2.39,3.56,2.68
"684",NA,3.61,NA
"685",3.74,3.34,3.3
"686",NA,4.08,3.89
"687",4.05,3.93,3.96
"689",3.69,3.4,3.2
"690",4.06,3.58,4.29
"691",NA,2.28,NA
"692",3.78,4.06,3.93
"693",3.84,3.04,3.14
"694",NA,2.89,NA
"695",4.13,3.47,3.99
"696",3.33,3.59,3.78
"697",3.79,3.61,4.1
"698",NA,3.38,2.48
"699",2.83,3.11,2.89
"700",3.33,3.7,3.48
"701",3,2.83,NA
"702",NA,3.85,3.78
"703",NA,2.89,3.9
"704",3.6,3.15,3.64
"705",3.97,4.06,4.26
"706",NA,3.92,NA
"707",4.01,4.22,3.89
"708",3.58,3.78,3.55
"709",3.14,NA,3.89
"710",3.38,3.04,4.08
"711",3.5,2.54,3.39
"712",3.71,2.91,3.02
"713",4.02,3.2,3.66
"714",3.59,3.81,4.12
"715",3.28,3.09,2.84
"716",4.16,3.98,4.4
"717",4.35,NA,3.94
"718",3.01,3.51,3.05
"719",3.88,3.83,4.62
"720",NA,4.09,NA
"721",NA,NA,3.52
"722",3.37,3.15,3.59
